#{"t_start": 1775913372.2315247, "env_id": "None"}
r,l,t
35.206607,7,8.407896
42.38955,30,8.841526
43.426171,11,9.052176
34.909049,7,9.235569
40.049338,27,9.645352
54.290559,44,10.274925
36.249347,7,10.487306
31.416651,7,10.694252
39.716099,24,11.064956
31.56301,7,11.239064
43.980164,12,11.478497
36.581299,8,11.672474
33.344852,7,11.863047
30.973293,8,12.037155
34.211936,7,12.202386
37.056203,26,12.58339
36.300541,7,12.735004
35.492455,7,12.903328
44.877547,22,13.247492
37.592801,7,13.444758
58.550227,33,13.934985
39.030431,9,14.16047
30.45249,8,14.352018
28.570666,16,14.59229
39.701306,10,14.822206
34.266782,7,15.015111
34.152578,7,15.168813
35.677228,9,15.422277
33.425097,8,15.658768
40.713194,10,15.869505
38.017345,9,16.194201
41.799062,24,16.565896
41.186193,10,16.779845
26.238149,15,17.042824
36.143732,8,17.234585
39.697568,10,17.470063
41.827356,29,17.905904
32.093855,9,18.131247
33.478456,26,18.487686
36.392124,7,18.675248
45.828635,10,18.857593
44.914967,11,19.137457
30.540288,9,19.325584
33.800171,7,19.510463
41.341504,30,19.93822
36.083929,19,20.239487
37.499244,8,20.442502
26.063097,13,20.675775
30.880643,7,20.819072
27.86927,7,20.984979
43.61345,28,21.39155
53.173666,13,21.668374
34.055059,28,22.116879
44.809545,11,22.319222
39.749489,22,22.649936
48.022281,10,22.867366
35.727107,8,23.06759
40.476772,9,23.289026
22.23088,28,23.728466
32.332468,10,23.911756
39.0353,26,24.305551
30.729697,8,24.50643
41.024591,13,24.752898
34.952121,7,24.957018
35.096506,10,25.227978
35.829542,22,25.555252
34.214348,7,25.873959
27.239804,27,26.324765
42.636895,13,26.605822
56.177227,45,27.225857
45.196563,50,28.137086
44.818934,16,28.439295
40.141421,14,28.694084
20.882558,23,29.033823
32.798653,8,29.187809
34.238061,22,29.526647
64.041723,22,29.841025
33.251201,7,30.007262
41.263869,20,30.331474
37.04732,34,30.787454
26.314229,17,31.107007
38.740929,8,31.313745
49.832631,19,31.607717
36.390408,8,31.829491
47.704139,26,32.214498
37.431108,9,32.430177
38.172266,32,33.001577
28.766075,9,33.2454
35.202395,7,33.441507
36.032563,9,33.707934
34.040497,10,33.943088
34.317633,7,34.118715
34.548257,8,34.313222
34.226319,7,34.520212
55.714801,18,34.823647
28.486692,16,35.079917
31.691726,19,35.385748
40.850998,10,35.630205
47.910145,29,36.019112
40.917439,22,36.363365
35.578436,8,36.548818
36.547829,7,36.741554
36.126906,7,36.938424
26.795975,20,37.286293
35.44984,19,37.589345
45.445125,47,38.300372
31.247868,18,38.581417
26.171291,21,38.927939
33.101509,24,39.329329
39.299147,11,39.527135
40.142085,10,39.739856
36.686964,20,40.093786
40.380359,9,40.278267
51.794169,30,40.69635
32.307216,16,40.990246
21.616762,25,41.399577
44.828947,11,41.659096
32.734023,7,41.861513
36.3117,7,42.050112
30.631751,18,42.349878
31.149957,21,42.739225
43.853255,9,42.945193
33.589322,7,43.131321
32.169217,7,43.316007
35.275888,7,43.486136
56.721275,23,43.864862
48.851382,16,44.140105
49.300603,30,44.585235
33.891661,25,44.986356
42.98602,12,45.238751
34.207967,7,45.382255
38.659723,9,45.649107
31.479474,21,46.023071
29.787804,25,46.54942
31.965523,17,46.842092
32.464619,8,47.03041
36.879711,8,47.183502
40.813546,10,47.406737
39.685628,10,47.659573
32.771253,32,48.083015
68.362274,24,48.457514
37.516833,22,48.831208
40.779887,13,49.113401
36.737329,24,49.514786
58.032259,20,49.837466
36.436169,9,50.060673
30.481418,7,50.230244
27.307038,22,50.573412
39.584375,22,50.959714
35.420705,8,51.151401
45.826249,12,51.41361
40.75421,25,51.754807
56.79953,21,52.113775
27.952401,18,52.432126
34.731888,8,52.603796
44.734442,33,53.046961
36.267125,9,53.237591
39.054746,9,53.437808
35.70776,7,53.648978
23.252796,19,53.969687
42.702202,31,54.385031
45.580893,12,54.650221
39.56886,12,54.888922
76.973915,48,55.540887
40.941014,22,55.932957
42.817484,11,56.165959
78.21492,54,56.859037
35.061999,7,57.04559
30.083337,8,57.258952
28.835507,21,57.62399
43.574675,24,57.940033
72.440733,26,58.327
39.83971,9,58.560324
37.021444,14,58.883096
36.431541,9,59.107597
39.490641,11,59.333084
67.308423,14,59.605949
34.462328,7,59.828774
46.797393,24,60.19125
39.438135,10,60.380162
44.973783,32,60.805707
33.573739,7,60.965237
30.057931,28,61.381022
35.887867,7,61.545374
