#{"t_start": 1775732326.7501752, "env_id": "None"}
r,l,t
-4.582807,12,6.689032
-4.766289,12,7.124859
75.743828,140,11.827655
6.721323,140,16.624701
-8.90968,12,17.035485
-14.994352,12,17.465561
2.932657,19,18.109738
-9.713016,12,18.504816
-2.398462,29,19.437474
0.972049,140,23.844542
-8.414339,12,24.249868
-3.745126,12,24.643228
-13.882834,12,25.019164
-4.359267,12,25.445436
-3.885262,12,25.818548
-4.056995,12,26.224438
-16.122344,12,26.617452
14.050408,140,30.855787
-24.220338,140,35.272404
-9.423228,12,35.613217
-10.317959,19,36.182403
106.880423,134,40.40901
-4.037363,12,40.789343
-10.191664,12,41.134228
-2.879902,12,41.49232
-38.464796,63,43.401281
4.189817,140,47.710768
4.20791,140,51.799276
10.110498,23,52.523213
-14.427658,12,52.923434
-9.961239,12,53.28287
17.119958,140,57.63293
-16.66983,12,58.001185
-11.880291,12,58.358184
-9.632139,12,58.724829
-2.615804,12,59.092499
-8.682673,12,59.454951
-31.203961,140,64.018144
2.125011,95,66.827137
-10.096014,12,67.212762
13.608053,108,70.422422
-8.372096,12,71.011058
-10.230559,12,71.355065
2.922294,66,73.408068
-11.330839,12,73.868785
-5.527833,21,74.512379
-8.863419,23,75.267694
-9.888109,12,75.680615
-3.211208,12,76.079753
-58.772461,140,80.676643
13.463211,140,84.872027
-9.224078,12,85.227926
-10.401922,12,85.633236
2.617202,135,89.896079
-15.615572,12,90.255774
16.54928,140,94.332392
-4.362079,12,94.73633
-3.752034,13,95.369187
-14.49138,22,96.039254
-3.16071,12,96.40468
-11.185987,12,96.814614
-122.372461,140,101.009521
-9.730431,12,101.401788
-10.853317,12,101.76959
-8.870629,12,102.139337
-3.561691,12,102.548054
3.994938,37,104.005084
-7.434825,12,104.38081
-1.908204,15,104.86358
-2.898983,12,105.258703
17.529513,140,109.433394
-7.77505,12,109.815996
-3.416418,12,110.160438
-6.260369,14,110.621407
17.60932,30,111.799298
-44.890638,105,114.934142
-4.902604,12,115.308363
-3.015235,12,115.702537
-19.942053,18,116.268678
-4.114432,12,116.670946
-17.691646,39,117.84748
-11.17233,12,118.208891
-9.200877,12,118.611291
-17.666009,22,119.510763
-10.597732,140,123.698917
18.839093,140,128.175977
-8.896339,12,128.629592
96.745249,140,133.002406
-2.530922,12,133.41034
-9.742209,12,133.796519
-8.454746,12,134.184494
-8.811277,12,134.545582
-15.34543,12,134.933257
-23.633843,140,139.365391
-57.8561,140,143.989641
-4.014028,12,144.383341
0.893402,140,148.843446
9.134712,140,153.517918
-3.953304,38,154.731754
-31.308309,73,156.938061
