#{"t_start": 1775869588.7334716, "env_id": "None"}
r,l,t
41.669547,9,4.123299
46.255379,13,4.396227
26.612232,20,4.752235
13.872353,11,4.948158
32.755965,10,5.14873
15.597459,12,5.395016
32.702737,7,5.584277
6.540711,11,5.794474
37.845631,8,6.04995
19.622036,15,6.362195
33.431063,8,6.544916
20.310436,15,6.83647
30.794951,8,6.997844
36.057165,7,7.172018
35.436463,8,7.349017
39.019801,11,7.600723
33.695991,10,7.842131
36.184239,9,8.050596
36.942024,9,8.232508
32.367309,7,8.440566
23.723272,12,8.690067
38.614004,8,8.896835
45.838216,10,9.152357
33.227921,10,9.351479
34.86525,9,9.549887
37.978183,9,9.77631
35.387203,7,9.922865
11.345961,7,10.076066
30.450837,16,10.334102
45.367452,13,10.641455
31.617218,20,10.954918
30.064773,11,11.222603
36.331965,8,11.444837
15.027787,9,11.614498
36.363417,10,11.877795
36.168752,8,12.067988
32.03395,8,12.255668
39.061578,9,12.480943
15.128582,11,12.759815
13.543597,12,12.989119
12.49682,12,13.244358
15.105376,15,13.523111
34.4865,7,13.694083
22.071254,14,13.944071
38.102213,9,14.187175
35.41956,9,14.403541
34.745772,9,14.614373
35.007953,8,14.851903
18.986576,17,15.122829
26.29035,15,15.422088
37.816029,9,15.636589
41.053003,9,15.840179
6.710479,8,15.993615
38.677057,11,16.24747
42.467738,27,16.682427
36.110836,6,16.819515
33.986179,6,17.022079
36.5738,7,17.193598
15.489996,10,17.375085
34.725328,7,17.539967
21.105282,12,17.78383
34.492399,11,18.018107
5.267875,4,18.152845
33.079479,8,18.325178
40.820909,14,18.616534
42.023184,12,18.847796
17.405697,11,19.126367
37.064861,8,19.317588
38.169559,9,19.521302
26.265939,9,19.72307
6.449701,14,19.97659
18.91471,10,20.176343
13.892558,16,20.457375
38.028411,11,20.685555
40.796831,10,20.9129
36.777156,8,21.079368
8.357767,16,21.389484
16.162255,9,21.605058
18.835351,15,21.897762
39.298128,10,22.10595
35.201916,18,22.433405
44.033659,11,22.673582
17.886033,13,22.906755
41.963948,15,23.171409
38.141047,9,23.379851
13.737584,15,23.655124
35.541871,7,23.8083
13.44184,10,24.029372
23.007281,13,24.314941
16.57933,14,24.565896
28.795468,7,24.715394
17.033487,23,25.101808
34.718717,7,25.256052
31.386813,7,25.418436
28.694469,17,26.899206
5.658086,19,27.258064
39.296844,11,27.521452
35.431673,11,27.772072
35.542689,19,28.083749
35.370408,11,28.293591
40.237798,9,28.514749
19.895915,15,28.799632
30.5873,8,28.972462
21.952383,11,29.244711
36.610613,7,29.420835
9.482326,20,29.787261
23.436483,12,30.039959
43.986072,12,30.281856
25.462535,14,30.590691
21.819076,15,30.854012
24.057838,15,31.153218
43.411607,11,31.3953
29.513483,10,31.652495
59.824191,23,32.057647
49.225559,15,32.340403
39.129586,9,32.537546
38.270915,9,32.722362
35.07413,7,32.892398
38.498729,7,33.089293
20.144173,11,33.290734
45.745002,13,33.544729
17.910037,16,33.860552
33.554798,7,34.050701
12.9476,16,34.340259
33.691466,7,34.517642
25.51067,15,34.785985
33.153025,10,34.993055
36.835306,8,35.204024
16.087861,13,35.469708
33.851001,11,35.708985
39.772874,11,35.94716
39.676058,10,36.176981
31.10582,22,36.514134
19.346858,13,36.81877
19.501601,10,37.03234
26.876517,20,37.423044
37.771607,8,37.645689
37.981239,8,37.808136
36.89825,8,38.001447
29.994234,8,38.174112
20.085884,17,38.431775
36.954728,24,38.853794
33.12524,9,39.043467
34.856923,11,39.279063
31.828714,13,39.572453
14.777479,11,39.806612
17.278679,14,40.079705
26.711439,16,40.368588
21.260973,13,40.589715
43.826818,11,40.815494
9.943469,13,41.043463
28.311093,8,41.233914
30.22883,8,41.431424
34.499387,12,41.671759
31.315119,8,41.873699
17.568632,10,42.088615
2.496152,9,42.296061
15.059845,19,42.642938
34.440459,9,42.887629
17.941786,11,43.116799
14.765948,11,43.352438
35.094487,7,43.545197
30.835974,6,43.706871
22.985835,13,43.938595
37.961257,8,44.174198
25.729664,14,44.42739
34.446912,8,44.613888
45.702137,11,44.820891
33.418063,7,45.051927
34.758651,9,45.271282
35.645499,7,45.428425
21.657417,12,45.695623
8.144621,12,45.928128
35.893052,9,46.086093
47.597536,14,46.362438
32.156095,7,46.532205
21.361314,11,46.782549
40.398307,8,47.031229
44.552987,12,47.331557
26.511702,8,47.505811
16.719558,12,47.706439
35.849829,9,47.915252
30.681364,8,48.095386
11.678658,20,49.465043
32.590863,7,49.656031
36.128917,9,49.867281
21.950927,13,50.123258
19.581241,11,50.321271
34.826159,10,50.542083
34.403063,6,50.693883
34.860547,9,50.909193
32.200798,9,51.089203
33.883083,7,51.261795
33.464519,7,51.469397
37.20539,8,51.663353
29.85728,19,51.958969
37.276803,10,52.240333
39.7359,8,52.41947
33.593839,7,52.588223
47.4456,12,52.839999
39.352147,12,53.069252
31.187195,8,53.268444
30.052263,7,53.443409
39.758057,12,53.744421
41.729304,9,53.950146
37.263388,9,54.146796
19.138523,16,54.431715
17.604161,11,54.662726
13.380584,14,54.9498
37.952612,11,55.199089
23.719249,13,55.437887
35.367945,7,55.626498
35.218457,8,55.856434
41.566278,12,56.092818
50.318435,14,56.383153
22.415865,14,56.669371
36.579574,8,56.878943
13.363205,8,57.06986
21.661949,14,57.346466
34.695037,7,57.543393
35.206373,7,57.729424
36.407221,10,57.955745
17.835293,25,58.343345
39.921326,11,58.590225
25.360298,22,58.964693
36.976251,8,59.154253
15.154718,10,59.341711
36.583193,7,59.574727
48.052729,15,59.901289
61.209399,16,60.221282
37.080939,8,60.377116
16.951139,21,60.718717
38.780006,8,60.918303
32.225284,7,61.106725
39.352729,8,61.296218
43.129769,13,61.561475
17.324903,13,61.837694
43.522002,10,62.058047
31.642946,7,62.211861
20.189044,14,62.480149
28.023094,7,62.701309
17.327917,18,63.024798
26.494733,18,63.341112
35.669866,7,63.505095
40.721444,9,63.695355
33.78064,21,64.089367
32.797712,25,64.449441
27.613447,16,64.750846
18.584411,20,65.089909
52.157409,16,65.396247
57.183327,15,65.685159
34.717076,7,65.848401
35.448302,7,66.040462
12.962414,14,66.291019
36.138251,11,66.517213
42.147066,11,68.173382
24.075406,15,68.474312
38.940224,10,68.692663
39.090249,15,68.975718
15.344666,26,69.474067
35.861028,8,69.64051
21.401569,11,69.922058
28.798028,10,70.122581
9.84392,6,70.279642
5.446804,7,70.434072
6.374494,14,70.722704
10.399951,11,70.944021
14.572503,10,71.208858
15.243419,13,71.440706
42.568495,9,71.657678
36.206708,9,71.832853
35.044006,10,73.005264
9.20334,15,73.238596
39.891557,8,73.459602
10.219087,11,73.678543
30.487196,8,73.875529
40.313439,9,74.078316
16.615264,12,74.356984
8.508611,4,74.5111
65.771344,16,74.823945
35.7624,10,75.077602
35.776717,12,75.320783
30.479433,25,75.715159
33.898219,8,75.919912
34.64086,8,76.121738
24.170137,13,76.39905
20.886391,14,76.693966
33.511275,7,76.856032
40.972874,10,77.097576
34.918749,9,77.313221
34.601764,10,77.55706
46.658254,12,77.788339
48.929565,16,78.149426
8.020302,7,78.28809
33.089708,8,78.482493
48.918649,13,78.747709
42.970998,12,78.977764
47.24976,12,79.215118
16.278766,16,79.509304
40.566692,9,79.750505
38.343227,9,79.951723
36.985909,7,80.139823
21.731475,13,80.447355
18.022549,9,80.656852
29.528931,18,80.99411
37.072128,8,81.158955
28.054621,22,81.536814
38.610582,13,81.765929
43.00971,13,82.019066
30.992013,9,82.226608
44.162019,11,82.446542
40.19362,8,82.635376
7.49166,9,82.879453
11.842713,12,83.097463
11.696304,13,83.326698
30.946305,24,83.72845
36.651225,7,83.923656
37.077727,9,84.126401
35.656324,8,84.295165
32.295051,21,84.670747
18.905905,12,84.913613
20.5837,20,85.255939
49.943806,16,85.553069
35.457668,7,85.75696
24.413421,15,86.040616
41.852226,9,86.231135
12.199041,8,86.44206
41.778652,9,86.648984
37.307907,11,86.861029
8.422219,20,87.208411
40.838462,10,87.40239
21.033065,14,87.665443
44.360092,13,87.968639
20.990121,14,88.225999
25.892986,14,88.483836
35.013263,8,88.66526
23.000057,15,88.927581
-0.203268,13,89.157665
54.21501,18,89.519087
34.252261,9,89.716879
24.990529,21,90.098966
43.771987,14,90.358658
17.880523,9,90.555463
23.924943,13,90.833977
23.078014,15,91.094346
32.70914,10,91.344653
38.019089,9,91.555923
36.229413,10,91.786882
35.057174,8,91.953388
45.789439,13,92.202944
38.381046,9,92.376528
34.330654,7,92.552364
5.088948,12,92.816789
42.298965,16,93.125516
35.010366,8,93.293356
32.851531,6,93.446965
38.45581,10,93.727782
34.612885,10,93.938138
31.663398,9,95.181961
24.061205,14,95.482708
8.266277,16,95.756028
17.943094,14,96.022506
38.671022,10,96.229335
26.006442,14,96.489386
12.910616,7,96.682077
16.598962,14,96.930428
31.632663,9,97.14344
13.600344,14,97.425797
54.951167,13,97.662848
14.836897,8,97.87465
34.603457,29,98.359281
33.195745,11,98.575081
27.106343,19,98.909326
34.053904,7,99.06907
49.623119,13,99.314425
41.448328,10,99.56433
21.402244,14,99.801232
7.763135,10,100.025242
12.84567,8,100.236163
26.011886,14,100.491246
31.227533,9,100.692236
35.055445,10,100.931759
38.117591,8,101.127081
17.945878,17,101.434072
28.778389,21,101.797926
39.944217,13,102.029629
18.095993,13,102.314658
34.533179,7,102.499634
30.98366,14,102.759984
33.510065,7,102.947399
23.155647,20,103.264424
26.875572,15,103.54827
18.850381,12,103.789376
37.728072,10,104.009793
39.995071,9,104.231711
7.546856,5,104.418126
34.520167,24,104.805742
12.787926,20,105.173488
31.956108,8,105.357855
35.936333,26,105.780431
30.257916,9,105.975768
29.706132,8,106.139454
6.316105,11,106.370793
42.61729,14,106.658223
9.316682,11,106.872129
40.329156,8,107.068253
34.767613,8,107.28865
38.399005,9,107.54301
36.516328,7,107.732933
20.801055,11,107.974223
23.000942,14,108.261386
44.985212,12,108.539214
33.691908,9,108.740124
35.194275,8,108.935156
12.667295,42,109.589175
3.222226,15,109.870194
45.067439,11,110.089834
35.499114,8,110.292001
35.025935,9,110.500822
40.217684,8,110.684964
11.363185,11,110.969308
31.774699,8,111.13643
3.398657,12,111.368405
36.621775,8,111.558082
16.190911,10,111.816047
8.472103,15,112.07951
13.748238,12,112.322803
30.170583,7,112.521527
45.727618,10,112.746611
37.827471,8,112.914381
48.568016,16,113.190914
21.144505,16,113.496106
