#{"t_start": 1775521763.7089548, "env_id": "None"}
r,l,t
20.121967,11,3.740572
23.538777,12,4.956722
26.448152,17,6.361984
25.144183,14,7.879271
24.310147,17,9.315787
23.260443,13,10.63071
21.853043,13,12.480269
30.269406,19,14.053548
21.926977,10,15.383996
28.205961,21,17.766254
23.147257,10,18.783943
92.182504,80,26.129268
24.394087,12,27.526036
30.554883,15,30.30533
21.711001,10,31.367681
29.731711,18,33.288563
25.557267,13,35.079474
23.685934,11,36.575719
36.430787,26,39.091525
24.384215,16,41.14809
19.882151,9,42.798179
31.315226,17,44.401552
29.718902,18,46.575218
29.502748,17,48.204154
19.083579,9,49.433805
28.022642,17,51.297936
19.613704,9,52.363333
28.856002,19,54.33892
29.660647,17,56.173454
22.495507,11,57.737699
25.670149,15,60.041821
24.218456,11,61.676654
23.087246,11,63.178784
28.25936,18,65.585245
25.59309,15,67.537437
29.841014,19,69.684621
26.343154,15,71.153573
19.187353,11,72.444815
48.241926,32,74.887045
26.21437,16,77.16585
24.44112,13,79.207587
25.286568,16,80.640307
28.442031,14,82.427622
34.688404,18,84.637196
29.215973,16,86.52773
35.987772,22,88.936922
27.473841,15,91.839562
28.699995,14,93.216338
24.107491,17,95.130983
18.630879,9,96.075549
19.159293,8,96.684965
32.31114,20,98.948066
29.632799,20,101.409043
29.252562,19,103.202091
19.289559,11,104.502867
35.623904,24,106.223521
30.722621,14,107.551752
39.07907,26,109.186032
33.44236,20,111.343773
33.443397,24,113.832672
15.328114,10,114.450742
31.262162,16,116.630912
24.296435,12,118.217732
26.088886,14,120.183674
25.746414,20,122.98255
25.901736,14,124.128354
31.698451,18,126.031641
26.266109,15,127.966221
20.747826,11,129.317607
26.078452,19,131.118583
24.416526,23,133.61245
25.030536,16,135.507418
24.119359,15,137.224216
25.731891,13,138.230371
32.143991,22,140.813463
24.572914,14,142.538056
33.295633,17,143.938483
23.198242,14,146.376478
26.225687,14,148.184257
32.12144,18,150.368297
18.011842,13,152.148523
25.464316,13,153.27492
29.344594,16,154.574531
24.918803,14,156.096954
23.012,14,157.491937
28.701097,14,158.882023
16.889877,12,159.944741
31.933214,22,162.347644
23.078384,15,164.137771
40.467694,25,166.627236
32.921523,19,168.570044
