#{"t_start": 1775726109.1947124, "env_id": "None"}
r,l,t
-4.450538,12,7.138531
-4.732223,12,7.513417
1.786943,65,9.637054
7.784416,140,13.999321
-46.717012,140,18.763028
-13.697402,12,19.170465
-2.788824,12,19.554554
-5.70909,12,19.971066
28.392202,140,24.472627
-44.804775,140,28.651226
-6.329792,12,29.049729
-2.930038,12,29.428889
-13.176664,12,29.810007
-14.486298,12,30.190195
-4.49224,27,30.986889
-3.314626,12,31.627802
-10.759493,12,31.994879
-3.247009,12,32.424713
-4.481399,25,33.190236
19.996451,140,37.686996
-70.209242,140,42.514367
-2.393678,12,42.924575
-3.316845,19,43.567509
-13.011306,12,43.975973
-2.21833,140,48.425103
-4.224816,21,49.2751
62.169844,140,53.665722
-9.291716,12,54.01564
5.137127,16,54.609721
-16.461167,29,55.481917
-9.521095,12,55.881471
-9.042575,12,56.237096
-9.654605,12,56.817623
-5.082184,140,60.978691
-10.007619,12,61.368435
-30.282579,140,65.874092
-12.182333,88,68.465403
-9.506531,12,68.866195
105.0085,140,73.212891
-8.876938,12,73.584966
6.642529,68,75.598428
-7.567741,12,76.038661
-16.765669,12,76.420823
-8.887671,12,76.799329
-4.973703,12,77.185836
-11.076256,19,77.803496
-17.710635,12,78.159024
-10.439419,12,78.530291
19.138521,140,82.814698
24.334272,140,87.109063
16.708686,140,91.477025
-9.832025,12,91.870204
-16.41172,12,92.253162
76.203176,140,96.563109
2.769917,19,97.101693
11.934756,61,98.885366
-9.448745,12,99.237934
-9.638737,12,99.621325
2.028868,24,100.336687
-3.217264,12,100.705744
-4.183829,12,101.049231
-2.701062,12,101.395388
-4.239288,12,101.801556
-11.285141,12,102.141421
-1.846591,133,106.225727
-4.290116,12,106.573806
-2.247695,12,106.942375
3.831833,39,108.092866
5.582283,104,111.059926
-9.030698,12,111.442288
-2.821722,140,115.828694
-94.533275,140,120.074986
-22.154744,92,122.670943
37.151142,140,126.724855
30.448353,140,130.923512
-47.899607,140,135.111826
-9.759812,12,135.452695
-8.335261,12,135.837844
-1.685702,91,138.556885
-10.34207,12,138.931797
91.471154,140,143.278428
-10.68879,12,143.68231
5.381693,140,147.892953
62.441489,140,152.189815
4.85776,55,153.86438
-31.793803,140,158.027586
-14.987085,12,158.408356
15.658686,140,171.715281
-5.636706,17,172.273331
28.364406,140,176.542555
-11.1232,13,176.964917
-3.087022,12,177.309147
-15.48929,12,177.678957
45.329495,140,181.738102
8.151337,140,186.044631
21.118361,140,190.370579
1.234891,22,190.99888
-12.776915,23,191.674141
8.929068,140,195.740319
-17.459422,12,196.12597
-3.892011,36,197.225534
-28.148327,29,198.227256
-18.975296,12,198.577667
-9.140671,12,198.957595
-9.156384,12,199.314776
-8.912777,12,199.666008
-11.567513,12,200.056005
-10.863342,12,200.428584
14.963872,36,201.513614
-8.941739,12,201.866762
-9.361103,12,202.23261
-8.316862,12,202.582654
16.198181,140,206.87031
3.26886,15,207.363019
85.04522,140,211.392003
-14.603492,12,211.773893
-9.40029,12,212.150886
-10.09713,12,212.512787
35.336399,140,216.741035
-22.211665,12,217.132398
0.038593,34,218.118085
-11.504585,12,218.51089
35.164455,140,222.954689
42.315129,140,226.932919
-10.003305,12,227.27808
-23.795656,34,228.292833
-2.983708,12,228.667266
67.739775,140,232.997157
-33.096567,140,237.148425
-16.539615,140,241.226121
-9.701769,12,241.619606
-76.184751,140,245.906792
-95.027288,140,249.996205
-142.675192,140,254.521055
18.869751,140,258.738477
-10.799724,12,259.125928
-48.69237,140,263.427739
-44.485154,140,267.718021
-3.778217,12,268.071763
-15.202854,12,268.460238
-16.207637,12,268.797155
3.499898,25,269.62747
-36.374916,140,273.613626
-62.501323,140,277.820912
-6.981,13,278.215436
-3.071217,12,278.599671
-9.899327,12,278.964718
3.594882,140,283.315713
98.99797,140,287.41287
97.446634,140,291.630684
-6.332036,12,291.976988
87.482372,140,295.909617
-3.022949,12,296.261338
21.464399,140,300.623956
-11.1251,15,301.124487
-12.174685,12,301.527484
-16.660483,24,302.341448
-79.246259,140,306.799077
-14.089881,21,307.430633
-5.811232,21,308.057556
-65.479467,140,312.338367
22.517086,140,316.566729
-10.181618,12,316.930607
-4.065623,12,317.252615
-16.197515,131,321.098106
-28.759029,35,322.327914
9.448102,140,343.74018
-15.526337,12,344.121415
-1.420363,16,344.618551
-31.823962,45,345.995277
-5.077626,12,346.345303
2.901022,22,347.279303
-8.557396,12,347.717965
-7.844781,39,348.974969
-2.134165,16,349.459001
-3.212172,12,349.845279
-69.920444,140,353.991419
-11.059101,12,354.419685
-15.366445,12,354.775629
-13.868875,12,355.367822
-16.98263,12,355.775012
-2.882827,12,356.163404
-5.991492,12,356.563471
-6.249308,12,356.942126
-4.576463,12,357.313838
-13.885606,43,358.678887
-6.606404,14,359.086719
-10.408996,12,359.475589
-19.352338,140,363.596149
7.272145,140,367.637964
-15.473911,140,372.227195
-73.915286,140,376.519146
-3.677486,12,376.913775
-3.39571,55,379.029507
3.062385,12,379.792874
-3.872966,12,380.30134
-15.052551,12,380.708141
-8.491435,12,381.130303
-3.116456,12,381.573238
-14.642881,12,382.000592
-11.956818,21,382.632161
-2.650226,12,383.077714
20.048534,129,387.134748
-11.865546,12,387.508572
-3.208705,12,387.928121
-3.276471,13,388.534627
8.540699,140,392.962582
-8.341661,32,394.013283
17.511328,140,398.919877
5.101542,14,399.411851
-19.429697,21,400.125217
-7.982964,12,400.534619
1.915782,140,405.017634
58.630167,140,409.617283
-4.808293,12,410.002286
-6.069308,12,410.41684
-1.047952,140,415.167112
-9.773215,12,415.581182
-5.759483,12,415.96413
-9.021472,12,416.342791
-12.096861,12,416.781285
-9.085387,12,417.195984
-2.64663,12,417.590349
-8.634121,12,418.025457
6.205523,32,419.073844
-7.642557,12,419.474141
6.779624,22,420.187839
-28.682761,133,425.05372
-9.388312,12,425.487613
-8.57841,12,425.943553
-40.706255,97,429.126523
-5.262277,12,429.568005
-15.606553,12,429.986627
14.885362,53,432.018224
-19.299889,24,432.848285
-10.156831,12,433.23089
-3.253965,12,433.656243
-8.024446,12,434.100651
-15.172903,12,434.503861
-16.748847,12,434.900812
-8.703931,12,435.335178
-77.410576,140,439.750197
-9.110703,12,440.381138
-2.983583,94,443.382112
-15.748101,12,443.797912
-15.475541,12,444.219354
17.92256,140,449.197339
25.726872,140,453.575474
-2.472601,12,454.023505
-2.542457,12,454.404913
-3.615057,139,459.141923
-2.414604,45,460.611229
-11.89768,12,461.048499
-9.611668,12,461.459511
-49.305624,41,462.84687
-13.954494,12,467.558776
-2.806933,12,467.956619
-4.562484,12,468.380461
-9.390642,12,468.751211
-8.773751,12,469.15192
-3.484087,12,469.555351
-62.309968,66,472.082664
-14.827555,12,472.485443
56.876879,140,476.923747
-8.321981,21,477.658764
-9.494619,12,478.068593
-9.628754,12,478.465998
-139.548041,123,482.681621
23.27869,140,487.196536
4.319237,22,488.197729
-16.865341,12,488.617786
-8.227727,12,489.001527
-2.769524,12,489.441057
-10.184991,12,489.845102
11.19348,140,494.394244
24.172284,140,499.176202
-34.646925,99,502.421401
7.26823,112,506.172451
-18.28553,18,506.79393
-3.286517,140,530.292144
12.492232,140,535.235839
-53.243432,140,539.928178
4.141838,33,541.315362
-37.8337,63,543.519082
-4.621899,12,543.933228
3.405319,17,544.546944
-14.921404,12,544.966722
43.226973,140,549.694929
-8.22413,12,550.408612
-12.502779,12,550.824428
-20.365584,23,551.60034
-9.605411,12,552.017609
-9.295944,12,552.438057
-9.0061,12,552.900311
-9.940048,12,553.284983
-10.063388,12,553.694002
12.35924,140,558.198959
-12.915156,16,558.740262
-17.060923,17,559.558264
1.371718,16,560.136504
18.124543,140,564.605697
-4.634986,33,565.720395
6.863304,135,570.366092
36.966117,140,574.98705
-15.548848,22,575.742134
-6.191558,12,576.157648
2.392495,28,577.250224
8.054101,74,579.690479
-7.858661,12,580.10919
