#{"t_start": 1775483246.475603, "env_id": "None"}
r,l,t
3.501298,75,2.616598
-0.668488,10,3.010397
3.557134,30,3.55437
5.605974,92,4.900727
5.930764,33,5.529996
-14.977945,23,6.010267
-9.643655,38,6.679547
-1.24421,5,7.023724
-3.892106,50,7.857253
-0.591023,25,8.358452
-17.549644,58,9.304111
-0.367417,31,9.918036
13.298609,70,10.964793
-3.279736,22,11.47722
-4.472065,16,11.941665
-14.136079,42,12.718967
0.18387,27,13.239944
-5.985081,29,13.82293
-3.785129,61,14.758585
-4.11055,50,15.543773
-5.121492,21,16.004362
-5.226976,16,16.431689
-0.338313,13,16.903797
-5.712784,47,17.679544
-1.663131,59,18.67312
-4.187214,27,19.193584
-1.035089,15,19.675686
-1.082753,9,20.060564
-5.232399,14,20.402995
-8.539814,52,22.495302
-0.441557,28,23.102406
6.509887,25,23.671172
0.550468,37,24.384256
-22.906709,59,25.277231
-4.775471,7,25.579594
-6.134519,64,26.571018
-10.061138,51,27.425312
-8.634194,50,28.343247
1.635541,76,29.483763
-2.481729,24,30.011346
-3.608382,55,30.898278
4.475358,33,31.483282
5.588631,28,32.023137
-2.893533,10,32.361645
-8.135202,44,33.179515
-0.88545,10,33.518047
-9.603663,22,33.971684
0.900241,30,34.584097
-4.639126,30,35.106749
8.679884,35,35.765616
0.093577,17,36.179655
6.753833,20,36.598725
2.086587,20,37.122683
-7.863335,27,37.67899
-3.137965,47,38.483114
-4.185756,24,39.034997
-11.457862,45,39.774095
-7.950872,60,40.663851
4.776554,23,42.463951
1.360487,42,43.12946
-0.741067,28,43.647098
-7.362547,42,44.344719
-4.451478,32,44.977107
2.918235,27,45.547475
0.777225,35,46.202527
6.549287,15,46.630044
-14.958248,75,47.768125
4.606462,49,48.5471
1.388807,14,49.023306
4.1116,31,49.638186
-0.01348,24,50.151075
-15.653426,38,50.792467
-5.131021,63,51.763001
-1.747753,23,52.2679
-1.156788,18,52.705796
1.902887,17,53.116115
-1.131636,17,53.568721
2.856838,42,54.271868
-12.990642,42,55.032374
2.968871,37,55.700375
-4.873568,30,56.337749
-5.654777,35,57.018437
7.262185,29,57.597581
8.713175,62,58.533232
-1.578969,14,58.984906
1.38801,20,59.536748
-0.593008,35,60.224479
-14.567254,33,60.910364
-0.277959,10,61.303384
1.82115,29,61.873519
-0.038156,12,63.239771
0.393325,39,63.981786
7.241274,67,65.0049
-5.098675,35,65.722224
1.815027,60,66.697586
-3.699663,25,67.276424
-13.653631,61,68.176117
-0.247485,75,69.231352
3.823034,25,69.670797
-3.64516,31,70.274818
0.482143,59,71.231527
-11.862353,52,72.084574
-0.80868,27,72.672284
0.284922,11,73.053022
-3.91346,31,73.654019
-1.964136,58,74.546607
-2.248403,27,75.074438
-24.464226,96,76.379039
-1.747302,22,76.887261
-11.688444,52,77.758822
1.005455,40,78.473835
-4.589345,22,78.904561
-9.782144,65,79.960027
-1.4555,51,81.385969
-10.054438,23,81.940083
-2.172565,16,82.339283
-7.547664,38,83.02592
-2.806745,39,83.743629
9.816126,40,84.465164
-0.004757,24,84.991071
0.002875,22,85.488126
-0.45581,24,85.992243
-4.350819,22,86.52862
-4.606147,17,87.015708
-3.621263,30,87.578018
4.033929,33,88.234623
-14.074004,44,88.930516
2.359491,40,89.609998
1.402426,32,90.242887
-0.039931,24,90.705374
1.410964,15,91.079379
1.311764,91,92.377946
-4.942818,30,93.0204
2.539759,33,93.629485
6.508468,18,94.08871
0.275645,24,94.624347
-3.593812,21,95.131104
-1.920119,11,95.497399
-3.801434,36,96.158389
-21.885903,70,97.19288
-3.375627,8,97.498074
-12.584278,27,98.110124
4.817276,21,98.579975
-5.42991,45,99.312336
0.420838,9,99.706254
4.314673,21,100.198123
-2.945385,29,100.803414
-4.23969,21,101.308115
5.598134,28,102.691886
4.173007,13,103.078751
5.270645,17,103.484656
7.169053,92,104.81306
-1.079089,25,105.368127
-1.076483,26,105.935882
-1.348264,90,107.219553
-6.577069,96,108.515296
-3.699242,16,108.950013
-1.600213,30,109.508431
-1.749903,29,110.088953
-3.214872,47,110.857726
0.096124,15,111.297546
-0.469905,21,111.808512
-1.972862,21,112.292088
-5.60812,21,112.777005
-4.478287,73,113.820586
-0.673038,70,114.797943
-6.447522,29,115.43674
-3.131788,26,115.970793
-3.117192,19,116.420302
5.368008,35,117.089268
2.033974,25,117.575171
-6.158549,74,118.576001
6.86781,42,119.314267
-1.695253,15,119.808789
-4.547455,13,120.186882
-6.780384,35,121.567286
-3.857105,52,122.4552
1.114044,29,123.027421
18.77013,77,124.166621
0.875301,6,124.464304
-0.935969,50,125.269871
1.363435,23,125.763702
-6.468506,19,126.258373
3.331623,19,126.726035
-5.937167,92,128.051783
4.91019,37,128.718364
9.731422,56,129.642366
2.832232,14,130.055694
2.724623,19,130.489161
-1.774584,10,130.862071
3.090421,40,131.556621
-3.789701,49,132.318651
7.098461,40,133.033368
8.458424,56,133.888293
0.938084,10,134.281605
-3.054492,9,134.599063
-2.780363,15,135.051969
-20.777403,58,135.902709
-1.396137,39,136.660897
-1.723785,15,137.078151
-1.92592,15,137.500037
-2.441783,19,138.047866
-4.408546,18,138.496281
2.293991,42,139.225519
-11.556821,59,140.154165
2.822322,28,140.729569
3.865688,24,142.015392
-18.57558,83,143.251865
-7.155375,41,144.027037
-4.00326,20,144.600098
-5.173653,21,145.051058
2.75305,28,145.633216
-5.554068,27,146.186076
-4.652593,33,146.820807
2.915178,45,147.594779
1.794829,16,148.028395
0.398304,56,148.940155
-4.344122,82,150.119927
-3.283903,46,150.863277
-11.652857,45,151.669653
1.631177,32,152.335514
-5.248084,23,152.847748
-10.325458,69,153.863535
-0.420619,23,154.343712
3.386908,18,154.74648
-8.638349,21,155.296469
7.828217,65,156.25468
-8.94021,23,156.771851
-3.630978,23,157.347425
1.530896,14,157.774621
-6.974404,47,158.604184
-5.32412,38,159.303472
5.64745,79,161.183368
5.539939,32,161.758961
13.586202,25,162.287632
-2.962139,32,162.898109
-5.135877,29,163.439651
-3.606676,35,164.031037
1.04531,27,164.599799
3.351518,35,165.305677
-6.551122,61,166.215889
-3.25854,8,166.602629
-6.245727,31,167.18309
0.636727,6,167.532005
4.924422,32,168.151832
-3.727035,12,168.576285
10.077068,27,169.19601
-4.517927,41,169.923432
-1.611537,7,170.235286
4.387827,47,171.035665
-5.216207,51,171.855015
2.304075,13,172.287494
-2.61729,8,172.66386
7.183986,15,173.113882
0.824298,21,173.618011
5.098476,34,174.314437
-1.13498,29,174.928518
0.766696,18,175.431131
15.062549,24,175.981977
-1.613049,43,176.657191
-0.737815,6,177.019109
-5.602227,22,177.449529
-1.138287,20,177.96412
12.186916,57,178.855998
-5.885492,21,179.367512
-2.927703,26,179.936281
-1.415152,34,180.594584
9.927062,69,181.666079
-8.143512,37,183.114795
-0.969382,30,183.72289
-4.669509,26,184.361773
-4.87594,30,184.955359
-8.98707,24,185.521933
10.200176,50,186.399433
6.777039,77,187.492899
-0.241841,10,187.829694
-4.367767,59,188.838387
-0.809712,17,189.279356
13.724255,76,190.399415
-2.352042,86,191.696814
-0.880714,48,192.521821
5.916009,86,193.784254
-1.974244,25,194.329075
-5.119882,20,194.786303
-1.984793,11,195.242723
3.420519,14,195.640029
-3.007863,14,196.116556
-16.173382,61,209.231531
