#{"t_start": 1775521763.6508284, "env_id": "None"}
r,l,t
22.044738,10,3.421109
41.530253,23,5.511675
30.054133,17,7.040164
24.775761,16,8.897807
28.750894,21,11.146821
27.62554,15,12.947514
42.649011,25,15.795905
29.642154,17,17.315351
32.328143,22,19.827907
28.211961,23,21.757104
35.571545,25,24.316903
39.686652,24,26.601487
29.219999,18,28.366006
19.949786,8,30.365166
26.346309,14,31.874891
20.518915,12,32.951313
24.503877,13,34.732099
22.278371,14,37.087076
19.474749,11,38.063317
27.155535,16,39.625261
28.069606,16,41.676121
22.110574,13,43.34086
22.210698,14,45.504817
32.948257,20,47.178067
26.264058,19,48.75677
28.498366,14,50.929976
28.803068,17,52.930438
32.47758,21,55.233759
29.617803,14,57.179237
18.297175,9,57.793506
27.719282,16,60.544912
31.778339,22,63.698999
20.019022,8,64.731717
34.88575,20,67.098463
18.049112,7,67.984984
23.431739,12,69.273516
31.460886,18,70.781466
25.441114,13,72.876924
36.86252,18,74.339251
30.272673,21,76.279161
23.182907,12,77.876648
25.095265,19,80.149457
27.956005,17,81.625144
26.527651,13,83.543657
26.693166,16,85.567454
25.704108,14,87.392133
26.405069,12,88.56559
22.287879,11,90.944752
17.78128,12,92.420833
30.044385,20,94.307032
46.52015,32,97.973764
25.95918,12,99.006946
24.949316,15,100.97499
21.785653,14,102.328023
25.365165,14,104.077056
26.877338,17,105.558403
28.866613,25,106.857939
19.242128,16,108.204337
25.74751,15,109.667145
40.010277,26,112.431746
26.576949,15,113.51364
25.026567,13,114.924377
28.413687,15,117.119559
23.11115,12,118.756926
19.288601,11,119.819155
30.573415,19,122.584597
30.897631,18,124.575595
23.046488,12,125.595977
35.356832,23,128.55493
25.964117,15,130.23457
24.023787,15,131.674576
21.728866,9,132.286209
22.660913,11,133.668018
22.242422,11,134.680327
17.545706,11,136.007533
56.28688,37,140.0301
55.982872,37,143.622834
21.460189,12,145.615417
20.973019,11,147.295978
21.092311,11,148.845743
28.506365,16,150.856287
30.81919,23,153.330512
29.994365,21,155.189542
24.360714,14,156.624783
34.801513,23,158.940046
23.106882,16,160.545342
24.971387,13,161.554406
25.704836,15,163.342016
38.625613,24,165.751105
23.33057,13,167.603668
26.820922,15,169.41676
23.996455,11,169.988449
29.73183,17,171.410016
29.701638,16,174.499933
25.818354,16,175.845336
22.41972,10,177.107686
25.150328,12,178.422835
26.385949,17,180.711199
25.699526,13,182.086307
31.909967,17,183.907057
26.87568,14,186.214731
18.876477,7,187.085877
24.197399,12,188.164456
18.466074,8,189.52352
23.443707,12,191.014671
36.202419,23,193.904576
31.899167,17,195.377667
25.591202,17,197.366425
21.96584,10,198.364343
25.108992,15,200.228373
39.011518,24,202.716002
26.333519,14,205.077927
28.469361,16,207.195826
43.021688,28,209.710729
24.773109,14,212.055901
38.361603,20,214.437088
28.17367,18,215.845042
22.038179,10,217.593814
30.628062,19,219.061125
55.088599,33,222.032316
27.457648,13,223.598602
24.685186,14,225.008636
25.830437,15,226.72715
38.385651,22,228.689975
29.279403,16,230.583504
23.279679,11,232.962626
28.104057,20,234.58803
29.49176,16,236.342417
22.780746,12,237.697797
