#{"t_start": 1775742660.7921505, "env_id": "None"}
r,l,t
-5.688301,12,6.51082
-9.877255,12,6.965379
-6.319566,12,7.334292
-47.705437,140,11.452513
-16.898863,12,11.827849
-16.412778,12,12.166625
-10.340875,12,12.56951
-2.442644,12,12.915611
-17.660603,12,13.26713
-10.129909,12,13.637746
-1.673771,12,14.215663
-10.522757,12,14.58707
-8.87156,12,14.991308
-15.813737,12,15.345281
-5.591371,12,15.715741
-16.205393,12,16.081203
-18.49631,12,16.454764
-7.617406,12,16.845438
-4.459918,12,17.202246
-12.190408,12,17.602561
-19.876158,65,19.481127
1.523479,12,19.880333
-36.828586,76,22.311532
-7.081403,12,22.716814
-11.53248,12,23.094136
-9.58628,12,23.482128
-9.479258,12,23.894533
-13.809256,12,24.242746
-2.972663,12,24.601977
-4.913086,12,25.012061
-17.821259,12,25.389206
1.116079,12,25.743443
-16.210625,12,26.124537
-13.303151,12,26.498383
-17.431953,12,26.855433
-5.288098,12,27.234637
-18.295281,12,27.620137
-15.358102,12,28.025865
-4.195576,12,28.368398
-8.51959,12,28.744796
-5.335586,12,29.119998
-16.260297,12,29.491161
-15.623329,12,29.843347
-19.311756,12,30.511309
-13.412607,12,30.871252
-36.154675,140,35.026674
-3.238277,12,35.386467
-3.887885,12,35.75477
-1.844881,12,36.137347
-9.139243,12,36.50048
-10.324187,12,36.86369
-3.382929,12,37.240194
-8.559726,12,37.611771
-8.58702,12,37.96786
-2.596876,12,38.587501
-8.847047,12,38.936728
-10.874594,12,39.340869
-11.251144,12,39.716309
-79.441897,140,43.717067
-7.543596,12,44.081103
-12.774554,12,44.450676
-16.645336,25,45.221971
-10.139324,12,45.642132
-13.93032,12,46.21066
-10.135555,12,46.571519
-3.781828,12,46.971773
-7.679877,19,47.587848
-4.194876,140,51.6112
-11.363568,12,51.985763
-5.512887,12,52.338829
-56.389868,65,54.418432
-17.1137,140,58.558323
-13.121494,12,58.996107
-17.343105,12,59.394383
-65.866348,140,64.250022
-28.227379,55,65.927155
-75.747411,105,69.039769
-19.500002,12,69.457649
-5.306738,12,69.850827
-4.220859,12,70.45044
-11.208085,12,70.830512
-17.595945,12,71.224492
-10.768744,12,71.619044
-18.419901,12,72.014662
-19.583269,12,72.386226
-8.078408,49,73.882215
-9.538158,12,74.232434
-7.465022,12,74.648365
-9.893194,12,75.045253
-16.603603,12,75.441586
-20.057526,12,75.834035
-4.125463,12,76.220709
-9.629632,12,76.592352
-9.502039,12,76.981768
-14.974176,12,77.358129
-5.918944,12,77.730218
-13.430506,12,78.125654
-42.713884,91,81.046564
-7.06575,12,81.413518
-5.462034,12,81.778372
20.427938,140,85.811432
-10.20026,12,86.386673
-3.590843,12,86.758706
-8.63054,12,87.138004
-9.244499,12,87.525535
-7.90868,12,87.892585
-15.238436,12,88.238822
-3.962892,12,88.624538
-6.63778,12,88.983253
-8.730158,12,89.332154
-6.024824,12,89.692861
-3.488121,12,90.119291
-14.866888,12,90.478927
-7.845713,12,90.862517
-23.773854,140,95.264267
-6.049144,12,95.618637
-15.142608,12,96.013687
-46.551059,80,98.303457
-9.807804,12,98.679651
-15.697966,12,99.080313
-10.393104,12,99.422888
-10.038259,12,99.81022
-11.389282,12,100.172091
1.739232,12,100.57349
-8.434468,12,100.938807
-10.910873,12,101.331904
-12.962385,12,101.736223
-8.605531,12,102.092486
-14.595941,12,102.687028
-11.156957,12,103.058346
-12.966855,12,103.440075
-18.121786,12,103.779485
-15.088581,12,104.131656
-29.319867,140,108.159885
-6.409022,12,108.574203
-13.469976,12,108.926992
-13.195724,12,109.317311
-15.742995,12,109.682585
0.98334,12,110.291084
-9.965179,12,110.657538
-11.338329,12,111.012801
-7.349843,12,111.424588
-20.575127,79,113.734005
-18.812408,12,114.102942
-5.741157,12,114.515278
-16.580996,12,114.870839
-10.83448,12,115.236682
-9.88999,12,115.61498
-9.013803,12,115.987254
-0.174837,12,116.377474
-6.603964,12,116.748174
-19.052734,12,117.108546
-87.478021,140,121.584844
-12.999953,12,121.949524
-4.895782,12,122.348042
-6.846699,12,122.713912
-6.780485,12,123.08633
-13.826309,12,123.467988
-12.503798,12,123.848701
-12.413319,12,124.225129
-26.33718,140,128.512293
-2.991494,12,128.888879
-15.685281,12,129.284283
-12.463459,12,129.652829
-10.69333,12,130.041129
-3.015142,12,130.436547
-8.50939,12,130.811409
-11.734206,35,131.872009
-15.01678,12,132.287503
-7.662928,12,132.66408
-6.708753,12,133.053966
-53.055497,140,137.389195
-11.964109,12,137.777316
-13.396984,28,138.602771
-1.525025,12,138.970054
-5.039676,12,139.343571
-71.630523,140,143.739063
-15.599831,12,144.087857
-98.02743,140,148.334346
-16.8306,12,148.745685
-7.246081,12,149.122403
-10.994864,12,149.540385
-8.935607,12,149.93668
-2.071421,12,150.620651
-8.65769,12,151.0264
-6.096014,12,151.405792
-6.041242,12,151.777891
-1.566971,12,152.18738
-14.112891,12,152.574383
-16.836877,12,152.98775
-28.318317,140,157.173013
-7.801225,12,157.543707
-77.394262,140,161.921362
-9.779677,12,162.286803
-21.515442,12,168.159529
0.278125,12,168.523548
-5.596799,12,168.881447
-13.031635,12,169.302838
-11.638431,12,169.713809
-13.394602,12,170.085217
-3.128977,12,170.511188
-6.479081,12,170.874629
-15.150928,12,171.235265
-8.860965,12,171.653022
-10.243885,12,172.218085
-11.426368,21,172.880293
-14.34627,12,173.26452
-17.087595,12,173.661972
-2.748138,12,174.023932
-11.260406,12,174.420641
