#{"t_start": 1775517624.6609213, "env_id": "None"}
r,l,t
5.15913,11,3.26755
27.469807,9,4.250126
23.574322,7,5.220101
25.11732,7,6.272092
21.785713,6,7.139217
23.586741,11,8.446674
27.581501,7,9.749449
20.926884,9,10.69192
21.80941,9,11.668576
34.043681,10,12.694756
19.071347,13,14.439271
23.723295,8,14.908529
22.614703,9,15.971615
28.154304,10,17.255625
20.394095,9,18.039535
19.766112,10,19.101572
27.848004,11,20.201239
18.661939,16,21.914323
23.882817,8,22.895335
21.455733,7,23.771574
5.541653,11,25.190509
26.345963,11,26.657912
22.137816,12,28.137148
4.105751,15,30.0579
18.992105,10,31.073223
25.531542,8,32.061113
26.184679,12,33.837748
0.780121,7,34.260686
18.446358,10,35.719028
21.057659,7,36.674754
25.379303,10,37.938423
17.26701,8,39.238339
17.848552,7,40.129801
31.432441,10,41.210318
1.669055,11,42.871567
24.739568,11,43.89011
26.066876,7,45.060579
26.930577,10,46.095422
24.798339,9,47.460143
22.318398,11,48.762935
24.439596,7,49.726651
19.798955,8,50.786284
31.306078,10,52.183723
22.735844,8,53.11558
20.691468,11,54.737471
28.106194,12,56.32128
24.128318,9,57.599066
3.753407,7,58.340295
17.464467,9,59.372806
25.155874,12,60.705472
25.40283,15,61.971872
28.346612,14,63.365904
27.260932,9,65.226495
23.257694,9,66.409619
24.38346,10,67.471763
27.625152,8,68.55212
27.806401,11,69.516955
19.784357,11,71.173978
-1.701334,9,72.467747
27.782208,16,73.960104
24.723382,10,74.745003
2.041103,7,75.802667
25.570529,7,76.843486
2.775439,12,78.468011
29.751917,9,79.571435
23.286447,8,80.362175
8.712477,19,81.947466
24.98599,10,82.667362
27.106078,11,84.894059
25.466313,9,86.181598
25.737091,10,86.999796
21.272987,14,88.250192
19.900932,8,88.940121
24.201398,9,89.910939
-0.01911,16,92.277107
18.801548,9,93.54592
20.892089,9,94.932921
38.082646,13,97.065984
30.815225,10,98.332926
25.850994,8,99.298741
25.815572,10,100.4662
-0.260505,5,100.859437
25.55411,6,101.824982
28.44972,10,102.965735
26.431631,9,104.270285
24.094189,7,105.730716
4.246388,27,109.194578
9.019623,12,110.535066
27.269973,10,111.603292
23.024525,12,113.20344
24.431578,8,114.189023
24.425597,8,115.223817
24.245026,9,116.483397
24.983828,12,117.552441
18.026693,9,118.583317
6.01936,8,119.757873
5.489701,11,121.400425
25.61911,9,122.784641
32.046506,11,124.049046
25.441627,14,125.712446
24.602645,8,126.829545
25.308553,9,128.054722
26.314244,11,130.182637
23.478959,8,131.195607
23.631374,9,132.222165
24.613302,12,133.736786
24.98208,9,134.90055
25.111376,12,136.558244
33.764354,11,138.049582
25.108831,8,138.497531
23.576463,7,139.190939
-0.419078,11,141.099071
27.664688,10,142.233979
22.176357,8,143.193341
22.216045,8,144.130487
25.710301,9,145.44752
25.682222,11,146.789339
24.494598,10,147.753824
3.762626,15,149.673645
21.188221,12,150.699435
19.721053,16,152.362717
26.396074,7,152.742132
24.633594,9,153.849104
20.090017,9,154.535782
23.541941,11,155.817328
24.318009,10,157.000631
23.50252,7,157.895866
0.762403,22,161.128474
20.950873,11,162.499866
17.636708,12,163.79591
25.894563,7,164.452501
26.633202,7,165.778912
19.991814,8,166.147569
28.729818,11,167.355675
25.73397,11,168.679431
24.732264,8,169.692065
23.498044,8,170.774162
22.693213,8,171.50805
27.383861,11,172.831146
22.993994,8,173.634968
23.104134,12,174.853575
21.727464,8,175.583543
25.932078,10,176.334342
25.382118,10,177.380925
-1.030257,16,179.117448
28.133043,10,180.224146
26.712365,8,181.541672
25.135134,9,182.544985
27.943355,10,183.937989
25.533907,7,184.406863
26.679619,11,185.657311
21.223205,11,187.03231
21.088636,8,188.097954
20.554968,8,190.179584
6.28371,15,191.804406
-0.477207,5,192.810671
9.640832,12,194.22502
2.384028,6,195.213574
20.691815,11,196.524151
25.717698,8,197.579741
17.667621,10,198.932503
23.658016,9,200.212259
23.274403,9,200.922044
23.342262,9,201.928986
24.728383,8,203.078736
30.219873,13,204.331192
7.841893,9,205.656966
26.922334,9,206.646314
20.019493,9,207.732798
24.650034,11,209.110234
24.958905,13,210.290573
26.629238,10,211.633915
2.174086,12,213.069122
28.630433,9,214.124604
27.98865,12,215.425753
27.482797,10,216.435219
27.778857,12,218.064582
11.373383,14,220.031076
23.070972,9,221.471589
23.57825,9,222.789871
22.148633,8,223.815603
23.771491,9,224.305722
24.62273,8,225.887941
25.422754,11,227.451317
22.312675,8,228.152303
6.66115,10,229.466926
7.925942,15,231.149277
31.5082,14,233.07016
22.64759,8,233.483813
22.264218,8,234.730912
28.264643,9,235.809626
22.221784,8,236.811157
27.511091,11,237.915159
21.232625,7,238.631968
25.36943,12,239.646506
24.848194,9,240.997095
22.499252,15,242.918407
23.042772,8,243.982005
4.842547,13,246.321224
21.700426,9,247.342915
0.578934,14,249.125443
23.607517,10,250.44339
27.077676,11,252.102801
24.58076,7,253.058309
27.76659,8,254.214981
29.774519,13,255.335875
21.134301,10,256.15633
24.850551,7,257.259217
16.07593,10,258.31348
24.977481,9,259.662402
17.456724,9,260.760201
24.634526,8,261.463085
23.4849,13,262.520171
5.434453,19,264.659622
26.426147,11,265.747625
20.057585,13,267.334544
27.798402,10,268.985051
18.770595,12,270.001153
22.563787,8,271.216069
25.43949,12,272.636055
26.813177,11,274.363862
23.207185,7,275.019891
26.537165,12,276.814275
25.598164,8,278.066415
27.083155,10,279.034948
20.473049,15,281.057891
22.94568,9,282.314589
19.578061,11,283.562097
25.702849,7,284.92024
24.924709,8,286.198836
18.555361,10,288.140241
22.822043,8,288.876925
23.907895,9,289.96059
25.564383,9,291.355015
30.920141,11,292.504704
23.643542,7,292.886143
29.432577,10,293.652156
26.579433,9,294.58917
23.978918,9,295.963422
24.00936,8,297.040294
21.69643,11,298.070591
22.117511,6,298.976033
-0.695492,13,300.542586
22.105474,10,301.6146
31.047809,9,302.713894
23.145792,9,303.594769
21.28308,8,304.497256
21.805398,10,305.571837
28.654738,7,306.864843
24.425776,7,307.456427
20.0949,9,312.418757
24.032357,9,313.527393
